"postId","date","title","videoFile","youtubeUrl","youtubeId"
"1c80d3185c9e","2026-02-22","2/22 大年初六、搭火車衝回台東倉庫、","outputs/facebook_posts/_extracted/your_facebook_activity/posts/media/videos/1600086691128896.mp4","",""
"b1fe6b275848","2026-02-22","《全真龍門方便法門》 影片第七講","outputs/facebook_posts/_extracted/your_facebook_activity/posts/media/videos/1292511432939212.mp4","",""
"aa67927fc1dc","2026-02-22","《全真龍門方便法門》 影片第七講","outputs/facebook_posts/_extracted/your_facebook_activity/posts/media/videos/1292511432939212.mp4","",""
"72aabcbfab79","2026-02-21","2026-02-21 貼文","outputs/facebook_posts/_extracted/your_facebook_activity/posts/media/videos/2322266138290704.mp4","",""
"e4e96a7552f0","2026-02-21","2/21 大年初五、正式開工，","outputs/facebook_posts/_extracted/your_facebook_activity/posts/media/videos/24206494269048629.mp4","",""
"dfab6684754f","2026-02-21","《龍門心法》捨絕愛緣","outputs/facebook_posts/_extracted/your_facebook_activity/posts/media/videos/2322266138290704.mp4","",""
"b499d1633904","2026-02-20","2026.2.20大年初四。迎財神","outputs/facebook_posts/_extracted/your_facebook_activity/posts/media/videos/4374665736146282.mp4","",""
"a8f0051fc34c","2026-02-20","2026.2.20大年初四。迎財神","outputs/facebook_posts/_extracted/your_facebook_activity/posts/media/videos/4374665736146282.mp4","",""
"5f93cfc472a9","2026-02-19","《全真龍門方便法門》 影片第六講、","outputs/facebook_posts/_extracted/your_facebook_activity/posts/media/videos/25830536869888435.mp4","",""
"5f93cfc472a9","2026-02-19","《全真龍門方便法門》 影片第六講、","outputs/facebook_posts/_extracted/your_facebook_activity/posts/media/videos/3457860654370643.mp4","",""
"9b9286652c20","2026-02-19","《全真龍門方便法門》 影片第六講、","outputs/facebook_posts/_extracted/your_facebook_activity/posts/media/videos/25830536869888435.mp4","",""
"babe1a9ae8f1","2026-02-19","2026.2.19 大年初三、","outputs/facebook_posts/_extracted/your_facebook_activity/posts/media/videos/875489408817407.mp4","",""
"7182f6caa0f1","2026-02-19","2026.2.19 大年初三、","outputs/facebook_posts/_extracted/your_facebook_activity/posts/media/videos/875489408817407.mp4","",""
"a563de6a7ba5","2026-02-18","2026.2.18 大年初二","outputs/facebook_posts/_extracted/your_facebook_activity/posts/media/videos/1621170949023672.mp4","",""
"4b961dfe5197","2026-02-18","2026.2.18 大年初二","outputs/facebook_posts/_extracted/your_facebook_activity/posts/media/videos/1621170949023672.mp4","",""
"00fac639555a","2026-02-18","《驅魔師》序，加俾額爾·阿摩特神父（羅素克洛 飾演）撰寫本書的緣起與...","outputs/facebook_posts/_extracted/your_facebook_activity/posts/media/videos/841085625622445.mp4","",""
"d596c660b639","2026-02-17","2026.2.17 大年初一。","outputs/facebook_posts/_extracted/your_facebook_activity/posts/media/videos/1650887392906594.mp4","",""
"1c5499cff961","2026-02-17","2026.2.17 大年初一。","outputs/facebook_posts/_extracted/your_facebook_activity/posts/media/videos/1650887392906594.mp4","",""
"99cf1d46e7ce","2026-02-17","《八二三注》第六章敘述八月十日深夜，參謀邵家聖為排遣寂寞外出查哨，卻...","outputs/facebook_posts/_extracted/your_facebook_activity/posts/media/videos/1712373703057966.mp4","",""
"c808f66d3d5e","2026-02-17","龍門心法《定慧等持》","outputs/facebook_posts/_extracted/your_facebook_activity/posts/media/videos/1265689828790023.mp4","",""
"f2d5edf21901","2026-02-16","2026.02.16 除夕 🧧","outputs/facebook_posts/_extracted/your_facebook_activity/posts/media/videos/951704660528344.mp4","",""
"75997dc3f61c","2026-02-15","《龍門心法》求師問道","outputs/facebook_posts/_extracted/your_facebook_activity/posts/media/videos/928613079606834.mp4","",""
"9d5a26eae3f2","2026-02-15","2025.1.15 小年夜","outputs/facebook_posts/_extracted/your_facebook_activity/posts/media/videos/2086028712189527.mp4","",""
"b293bf2cae9c","2026-02-15","2025.1.15 小年夜","outputs/facebook_posts/_extracted/your_facebook_activity/posts/media/videos/2086028712189527.mp4","",""
"5eed461ab95f","2026-02-14","《長春真人西遊記》第四章","outputs/facebook_posts/_extracted/your_facebook_activity/posts/media/videos/720347347830296.mp4","",""
